,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
2277_4,4,0,6,0,7,13,1,3,0,5,1,2,3,7,18,3,12,3,8,1,0,7,5,3,0,3,13,17,7,1,5,4,1,1,11,1,0,15,14,8,14,0,5,1,0,4,1,1,7,1
2155_1,9,0,2,3,5,7,1,3,3,1,0,6,3,3,1,0,1,0,5,5,2,7,0,1,0,5,0,2,5,0,3,0,0,0,2,0,2,3,1,1,5,2,6,3,0,4,1,5,2,0
1169_2,17,0,10,1,3,3,6,1,8,6,18,5,10,1,6,8,3,7,5,7,4,2,8,5,7,6,2,5,8,1,5,11,6,5,12,5,2,6,4,9,16,2,6,2,15,9,3,1,6,3
1169_3,62,16,19,16,8,7,17,9,4,5,19,12,15,9,4,6,6,14,8,12,7,28,11,4,24,9,1,7,8,17,17,6,5,37,12,12,2,6,3,13,66,7,13,25,66,11,11,6,9,51
1169_1,31,9,6,1,7,5,11,2,3,1,11,3,3,2,1,6,3,3,4,2,1,4,8,2,8,5,0,5,2,8,1,5,2,8,10,9,1,2,2,6,26,2,3,5,18,6,4,2,0,10
1558_2,0,1,4,1,3,2,0,3,6,9,1,1,3,4,7,1,7,5,14,2,6,0,1,1,1,14,11,5,10,2,0,3,3,4,5,1,1,4,8,5,0,2,10,3,1,12,3,0,5,0
1169_4,45,17,19,52,11,9,27,18,6,5,32,17,21,7,3,17,12,21,8,18,5,9,27,14,27,7,3,1,5,32,16,12,7,39,7,49,5,13,3,11,106,13,4,7,78,3,14,30,8,45
1169_5,6,6,14,1,3,3,4,3,3,3,6,11,15,2,11,2,4,3,7,10,4,3,5,0,2,5,7,2,12,2,7,4,6,14,14,4,2,4,8,10,15,2,3,4,7,12,3,3,7,3
1182_3,2,1,4,5,14,8,2,7,1,2,2,16,10,13,2,5,7,8,11,19,8,6,4,7,4,12,2,7,11,1,16,6,2,10,5,9,9,6,3,10,12,18,7,5,2,6,9,7,4,3
1182_2,1,10,12,13,24,12,17,21,14,17,20,19,14,17,4,13,5,20,19,15,5,12,18,16,17,13,2,26,16,6,16,18,20,22,13,20,18,3,6,1,4,21,13,16,24,10,11,5,19,15
1182_1,2,9,15,8,20,25,10,20,17,20,9,13,16,14,8,14,1,12,20,16,11,22,10,18,23,19,3,19,14,4,8,15,14,14,27,13,13,4,13,2,5,13,18,11,5,13,17,7,8,8
